,county,state,population,dc
253,Mesa,CO,93145,23.0
254,Mineral,CO,558,0.0
255,Moffat,CO,11357,2.0
256,Montezuma,CO,18672,5.0
257,Montrose,CO,24423,2.0
258,Morgan,CO,21939,8.0
259,Otero,CO,20185,8.0
260,Ouray,CO,2295,1.0
261,Park,CO,7174,3.0
262,Phillips,CO,4189,0.0
263,Pitkin,CO,12661,0.0
264,Prowers,CO,13347,3.0
265,Pueblo,CO,123051,34.0
266,Rio blanco,CO,5972,0.0
267,Rio grande,CO,10770,0.0
268,Routt,CO,14088,3.0
269,Saguache,CO,4619,1.0
270,San juan,CO,745,0.0
271,San miguel,CO,3653,0.0
272,Sedgwick,CO,2690,0.0
273,Summit,CO,12881,0.0
274,Teller,CO,12468,4.0
275,Washington,CO,4812,2.0
276,Weld,CO,131821,20.0
277,Yuma,CO,8954,3.0
278,Fairfield,CT,827645,204.0
279,Hartford,CT,851783,166.0
280,Litchfield,CT,174092,46.0
281,Middlesex,CT,143196,55.0
282,New haven,CT,804219,0.0
283,New london,CT,254957,0.0
284,Tolland,CT,128699,20.0
285,Windham,CT,102525,30.0
286,Kent,DE,110993,10.0
287,New castle,DE,441946,0.0
288,Sussex,DE,113229,25.0
289,District of columbia,DC,606900,0.0
290,Alachua,FL,181596,16.0
291,Baker,FL,18486,1.0
292,Bay,FL,126994,21.0
293,Bradford,FL,22515,9.0
294,Brevard,FL,398978,96.0
295,Broward,FL,1255488,404.0
296,Calhoun,FL,11011,1.0
297,Charlotte,FL,110975,43.0
298,Citrus,FL,93515,37.0
299,Clay,FL,105986,10.0
300,Collier,FL,152099,47.0
301,Columbia,FL,42613,8.0
302,Dade,FL,1937094,434.0
303,Desoto,FL,23865,0.0
304,Dixie,FL,10585,2.0
305,Duval,FL,672971,94.0
306,Escambia,FL,262798,56.0
307,Flagler,FL,28701,7.0
308,Franklin,FL,8967,2.0
309,Gadsden,FL,41105,3.0
310,Gilchrist,FL,9667,2.0
311,Glades,FL,7591,1.0
312,Gulf,FL,11504,0.0
313,Hamilton,FL,10930,2.0
314,Hardee,FL,19499,2.0
315,Hendry,FL,25773,2.0
316,Hernando,FL,101115,29.0
317,Highlands,FL,68432,17.0
318,Hillsborough,FL,834054,135.0
319,Holmes,FL,15778,1.0
320,Indian river,FL,90208,0.0
321,Jackson,FL,41375,5.0
322,Jefferson,FL,11296,1.0
323,Lafayette,FL,5578,0.0
324,Lake,FL,152104,38.0
325,Lee,FL,335113,98.0
326,Leon,FL,192493,15.0
327,Levy,FL,25923,6.0
328,Liberty,FL,5569,2.0
329,Madison,FL,16569,2.0
330,Manatee,FL,211707,58.0
331,Marion,FL,194833,49.0
332,Martin,FL,100900,33.0
333,Monroe,FL,78024,21.0
334,Nassau,FL,43941,6.0
335,Okaloosa,FL,143776,30.0
336,Okeechobee,FL,29627,9.0
337,Orange,FL,677491,109.0
338,Osceola,FL,107728,21.0
339,Palm beach,FL,863518,0.0
340,Pasco,FL,281131,112.0
341,Pinellas,FL,851659,299.0
342,Polk,FL,405382,80.0
343,Putnam,FL,65070,13.0
344,Santa rosa,FL,81608,0.0
345,Sarasota,FL,277776,120.0
346,Seminole,FL,287529,27.0
347,St. johns,FL,83829,0.0
348,St. lucie,FL,150171,0.0
349,Sumter,FL,31577,4.0
350,Suwannee,FL,26780,4.0
351,Taylor,FL,17111,4.0
352,Union,FL,10252,1.0
353,Volusia,FL,370712,93.0
354,Wakulla,FL,14202,1.0
355,Walton,FL,27760,9.0
356,Washington,FL,16919,4.0
357,Appling,GA,15744,2.0
358,Atkinson,GA,6213,0.0
359,Bacon,GA,9566,1.0
360,Baker,GA,3615,0.0
361,Baldwin,GA,39530,4.0
362,Banks,GA,10308,2.0
363,Barrow,GA,29721,4.0
364,Bartow,GA,55911,8.0
365,Ben hill,GA,16245,0.0
366,Berrien,GA,14153,4.0
367,Bibb,GA,149967,14.0
368,Bleckley,GA,10430,1.0
369,Brantley,GA,11077,1.0
370,Brooks,GA,15398,0.0
371,Bryan,GA,15438,2.0
372,Bulloch,GA,43125,6.0
373,Burke,GA,20579,2.0
374,Butts,GA,15326,5.0
375,Calhoun,GA,5013,1.0
376,Camden,GA,30167,0.0
377,Candler,GA,7744,1.0
378,Carroll,GA,71422,9.0
379,Catoosa,GA,42464,9.0
380,Charlton,GA,8496,1.0
381,Chatham,GA,216935,39.0
382,Chattahoochee,GA,16934,0.0
383,Chattooga,GA,22242,1.0
384,Cherokee,GA,90204,15.0
385,Clarke,GA,87594,10.0
386,Clay,GA,3364,0.0
387,Clayton,GA,182052,21.0
388,Clinch,GA,6160,0.0
389,Cobb,GA,447745,43.0
390,Coffee,GA,29592,1.0
391,Colquitt,GA,36645,4.0
392,Columbia,GA,66031,7.0
393,Cook,GA,13456,4.0
394,Coweta,GA,53853,8.0
