,county,state,population,dc
1595,Musselshell,MT,4106,2.0
1596,Park,MT,14562,5.0
1597,Petroleum,MT,519,0.0
1598,Phillips,MT,5163,2.0
1599,Pondera,MT,6433,2.0
1600,Powder river,MT,2090,0.0
1601,Powell,MT,6620,3.0
1602,Prairie,MT,1383,0.0
1603,Ravalli,MT,25010,3.0
1604,Richland,MT,10716,4.0
1605,Roosevelt,MT,10999,5.0
1606,Rosebud,MT,10505,1.0
1607,Sanders,MT,8669,2.0
1608,Sheridan,MT,4732,1.0
1609,Silver bow,MT,33941,0.0
1610,Stillwater,MT,6536,0.0
1611,Sweet grass,MT,3154,0.0
1612,Teton,MT,6271,2.0
1613,Toole,MT,5046,0.0
1614,Treasure,MT,874,0.0
1615,Valley,MT,8239,0.0
1616,Wheatland,MT,2246,1.0
1617,Wibaux,MT,1191,1.0
1618,Yellowstone,MT,113419,25.0
1619,Yellowstone national park,MT,52,0.0
1620,Adams,NE,29625,11.0
1621,Antelope,NE,7965,3.0
1622,Arthur,NE,462,0.0
1623,Banner,NE,852,0.0
1624,Blaine,NE,675,0.0
1625,Boone,NE,6667,1.0
1626,Box butte,NE,13130,0.0
1627,Boyd,NE,2835,0.0
1628,Brown,NE,3657,3.0
1629,Buffalo,NE,37447,7.0
1630,Burt,NE,7868,2.0
1631,Butler,NE,8601,4.0
1632,Cass,NE,21318,3.0
1633,Cedar,NE,10131,8.0
1634,Chase,NE,4381,0.0
1635,Cherry,NE,6307,1.0
1636,Cheyenne,NE,9494,4.0
1637,Clay,NE,7123,1.0
1638,Colfax,NE,9139,3.0
1639,Cuming,NE,10117,2.0
1640,Custer,NE,12270,5.0
1641,Dakota,NE,16742,6.0
1642,Dawes,NE,9021,3.0
1643,Dawson,NE,19940,4.0
1644,Deuel,NE,2237,0.0
1645,Dixon,NE,6143,3.0
1646,Dodge,NE,34500,8.0
1647,Douglas,NE,416444,94.0
1648,Dundy,NE,2582,1.0
1649,Fillmore,NE,7103,5.0
1650,Franklin,NE,3938,4.0
1651,Frontier,NE,3101,0.0
1652,Furnas,NE,5553,3.0
1653,Gage,NE,22794,5.0
1654,Garden,NE,2460,0.0
1655,Garfield,NE,2141,1.0
1656,Gosper,NE,1928,0.0
1657,Grant,NE,769,0.0
1658,Greeley,NE,3006,0.0
1659,Hall,NE,48925,8.0
1660,Hamilton,NE,8862,1.0
1661,Harlan,NE,3810,0.0
1662,Hayes,NE,1222,0.0
1663,Hitchcock,NE,3750,0.0
1664,Holt,NE,12599,3.0
1665,Hooker,NE,793,0.0
1666,Howard,NE,6055,1.0
1667,Jefferson,NE,8759,2.0
1668,Johnson,NE,4673,2.0
1669,Kearney,NE,6629,0.0
1670,Keith,NE,8584,2.0
1671,Keya paha,NE,1029,0.0
1672,Kimball,NE,4108,1.0
1673,Knox,NE,9534,4.0
1674,Lancaster,NE,213641,42.0
1675,Lincoln,NE,32508,9.0
1676,Logan,NE,878,0.0
1677,Loup,NE,683,0.0
1678,Madison,NE,32655,9.0
1679,Mcpherson,NE,546,0.0
1680,Merrick,NE,8042,1.0
1681,Morrill,NE,5423,1.0
1682,Nance,NE,4275,0.0
1683,Nemaha,NE,7980,2.0
1684,Nuckolls,NE,5786,1.0
1685,Otoe,NE,14252,3.0
1686,Pawnee,NE,3317,1.0
1687,Perkins,NE,3367,1.0
1688,Phelps,NE,9715,1.0
1689,Pierce,NE,7827,2.0
1690,Platte,NE,29820,9.0
1691,Polk,NE,5675,0.0
1692,Red willow,NE,11705,0.0
1693,Richardson,NE,9937,4.0
1694,Rock,NE,2019,1.0
1695,Saline,NE,12715,4.0
1696,Sarpy,NE,102583,15.0
1697,Saunders,NE,18285,9.0
1698,Scotts bluff,NE,36025,0.0
1699,Seward,NE,15450,3.0
1700,Sheridan,NE,6750,2.0
1701,Sherman,NE,3718,0.0
1702,Sioux,NE,1549,0.0
1703,Stanton,NE,6244,0.0
1704,Thayer,NE,6635,4.0
1705,Thomas,NE,851,0.0
1706,Thurston,NE,6936,2.0
1707,Valley,NE,5169,1.0
1708,Washington,NE,16607,2.0
1709,Wayne,NE,9364,2.0
1710,Webster,NE,4279,1.0
1711,Wheeler,NE,948,0.0
1712,York,NE,14428,2.0
1713,Carson city,NV,40443,0.0
1714,Churchill,NV,17938,7.0
1715,Clark,NV,741459,104.0
1716,Douglas,NV,27637,7.0
1717,Elko,NV,33530,3.0
1718,Esmeralda,NV,1344,0.0
1719,Eureka,NV,1547,1.0
1720,Humboldt,NV,12844,1.0
1721,Lander,NV,6266,1.0
1722,Lincoln,NV,3775,1.0
1723,Lyon,NV,20001,5.0
1724,Mineral,NV,6475,2.0
1725,Nye,NV,17781,1.0
1726,Pershing,NV,4336,2.0
1727,Storey,NV,2526,0.0
1728,Washoe,NV,254667,46.0
1729,White pine,NV,9264,0.0
1730,Belknap,NH,49216,0.0
1731,Carroll,NH,35410,0.0
1732,Cheshire,NH,70121,0.0
1733,Coos,NH,34828,0.0
1734,Grafton,NH,74929,0.0
1735,Hillsborough,NH,336073,0.0
1736,Merrimack,NH,120005,0.0
1737,Rockingham,NH,245845,0.0
1738,Strafford,NH,104233,0.0
1739,Sullivan,NH,38592,0.0
1740,Atlantic,NJ,224327,0.0
1741,Bergen,NJ,825380,0.0
1742,Burlington,NJ,395066,0.0
1743,Camden,NJ,502824,0.0
1744,Cape may,NJ,95089,0.0
1745,Cumberland,NJ,138053,0.0
1746,Essex,NJ,778206,0.0
1747,Gloucester,NJ,230082,0.0
1748,Hudson,NJ,553099,0.0
1749,Hunterdon,NJ,107776,0.0
1750,Mercer,NJ,325824,0.0
1751,Middlesex,NJ,671780,0.0
1752,Monmouth,NJ,553124,0.0
1753,Morris,NJ,421353,0.0
1754,Ocean,NJ,433203,0.0
1755,Passaic,NJ,453060,0.0
1756,Salem,NJ,65294,0.0
1757,Somerset,NJ,240279,0.0
1758,Sussex,NJ,130943,0.0
1759,Union,NJ,493819,0.0
1760,Warren,NJ,91607,0.0
1761,Bernalillo,NM,480577,0.0
1762,Catron,NM,2563,0.0
1763,Chaves,NM,57849,0.0
1764,Cibola,NM,23794,0.0
1765,Colfax,NM,12925,0.0
1766,Curry,NM,42207,0.0
1767,Debaca,NM,2252,0.0
1768,Dona ana,NM,135510,0.0
1769,Eddy,NM,48605,0.0
1770,Grant,NM,27676,0.0
1771,Guadalupe,NM,4156,0.0
1772,Harding,NM,987,0.0
1773,Hidalgo,NM,5958,0.0
1774,Lea,NM,55765,0.0
1775,Lincoln,NM,12219,0.0
1776,Los alamos,NM,18115,0.0
1777,Luna,NM,18110,0.0
1778,Mckinley,NM,60686,0.0
1779,Mora,NM,4264,0.0
1780,Otero,NM,51928,0.0
1781,Quay,NM,10823,0.0
1782,Rio arriba,NM,34365,0.0
1783,Roosevelt,NM,16702,0.0
1784,San juan,NM,91605,0.0
1785,San miguel,NM,25743,0.0
1786,Sandoval,NM,63319,0.0
1787,Santa fe,NM,98928,0.0
1788,Sierra,NM,9912,0.0
1789,Socorro,NM,14764,0.0
1790,Taos,NM,23118,0.0
1791,Torrance,NM,10285,0.0
1792,Union,NM,4124,0.0
1793,Valencia,NM,45235,0.0
1794,Albany,NY,292594,0.0
1795,Allegany,NY,50470,0.0
1796,Bronx,NY,1203789,0.0
1797,Broome,NY,212160,0.0
1798,Cattaraugus,NY,84234,0.0
1799,Cayuga,NY,82313,0.0
1800,Chautauqua,NY,141895,0.0
1801,Chemung,NY,95195,0.0
1802,Chenango,NY,51768,0.0
1803,Clinton,NY,85969,0.0
1804,Columbia,NY,62982,0.0
1805,Cortland,NY,48963,0.0
1806,Delaware,NY,47225,0.0
1807,Dutchess,NY,259462,0.0
1808,Erie,NY,968532,0.0
1809,Essex,NY,37152,0.0
1810,Franklin,NY,46540,0.0
1811,Fulton,NY,54191,0.0
1812,Genesee,NY,60060,0.0
1813,Greene,NY,44739,0.0
1814,Hamilton,NY,5279,0.0
1815,Herkimer,NY,65797,0.0
1816,Jefferson,NY,110943,0.0
1817,Kings,NY,2300664,0.0
1818,Lewis,NY,26796,0.0
1819,Livingston,NY,62372,0.0
1820,Madison,NY,69120,0.0
1821,Monroe,NY,713968,0.0
1822,Montgomery,NY,51981,0.0
1823,Nassau,NY,1287348,0.0
1824,New york,NY,1487536,0.0
1825,Niagara,NY,220756,0.0
1826,Oneida,NY,250836,0.0
1827,Onondaga,NY,468973,0.0
1828,Ontario,NY,95101,0.0
1829,Orange,NY,307647,0.0
1830,Orleans,NY,41846,0.0
1831,Oswego,NY,121771,0.0
1832,Otsego,NY,60517,0.0
1833,Putnam,NY,83941,0.0
1834,Queens,NY,1951598,0.0
1835,Rensselaer,NY,154429,0.0
1836,Richmond,NY,378977,0.0
1837,Rockland,NY,265475,0.0
1838,Saratoga,NY,181276,0.0
1839,Schenectady,NY,149285,0.0
1840,Schoharie,NY,31859,0.0
1841,Schuyler,NY,18662,0.0
1842,Seneca,NY,33683,0.0
1843,St. lawrence,NY,111974,0.0
1844,Steuben,NY,99088,0.0
1845,Suffolk,NY,1321864,0.0
1846,Sullivan,NY,69277,0.0
1847,Tioga,NY,52337,0.0
1848,Tompkins,NY,94097,0.0
1849,Ulster,NY,165304,0.0
1850,Warren,NY,59209,0.0
1851,Washington,NY,59330,0.0
1852,Wayne,NY,89123,0.0
1853,Westchester,NY,874866,0.0
1854,Wyoming,NY,42507,0.0
1855,Yates,NY,22810,0.0
1856,Alamance,NC,108213,0.0
1857,Alexander,NC,27544,0.0
1858,Alleghany,NC,9590,0.0
1859,Anson,NC,23474,0.0
1860,Ashe,NC,22209,0.0
1861,Avery,NC,14867,0.0
1862,Beaufort,NC,42283,0.0
1863,Bertie,NC,20388,0.0
1864,Bladen,NC,28663,0.0
1865,Brunswick,NC,50985,0.0
1866,Buncombe,NC,174821,0.0
1867,Burke,NC,75744,0.0
1868,Cabarrus,NC,98935,0.0
1869,Caldwell,NC,70709,0.0
1870,Camden,NC,5904,0.0
1871,Carteret,NC,52556,0.0
1872,Caswell,NC,20693,0.0
1873,Catawba,NC,118412,0.0
1874,Chatham,NC,38759,0.0
1875,Cherokee,NC,20170,0.0
1876,Chowan,NC,13506,0.0
1877,Clay,NC,7155,0.0
1878,Cleveland,NC,84714,0.0
1879,Columbus,NC,49587,0.0
1880,Craven,NC,81613,0.0
1881,Cumberland,NC,274566,0.0
1882,Currituck,NC,13736,0.0
1883,Dare,NC,22746,0.0
1884,Davidson,NC,126677,0.0
1885,Davie,NC,27859,0.0
1886,Duplin,NC,39995,0.0
1887,Durham,NC,181835,0.0
1888,Edgecombe,NC,56558,0.0
1889,Forsyth,NC,265878,0.0
1890,Franklin,NC,36414,0.0
1891,Gaston,NC,175093,0.0
1892,Gates,NC,9305,0.0
1893,Graham,NC,7196,0.0
1894,Granville,NC,38345,0.0
1895,Greene,NC,15384,0.0
1896,Guilford,NC,347420,0.0
1897,Halifax,NC,55516,0.0
1898,Harnett,NC,67822,0.0
1899,Haywood,NC,46942,0.0
1900,Henderson,NC,69285,0.0
1901,Hertford,NC,22523,0.0
1902,Hoke,NC,22856,0.0
1903,Hyde,NC,5411,0.0
1904,Iredell,NC,92931,0.0
1905,Jackson,NC,26846,0.0
1906,Johnston,NC,81306,0.0
1907,Jones,NC,9414,0.0
1908,Lee,NC,41374,0.0
1909,Lenoir,NC,57274,0.0
1910,Lincoln,NC,50319,0.0
1911,Macon,NC,23499,0.0
1912,Madison,NC,16953,0.0
1913,Martin,NC,25078,0.0
1914,Mcdowell,NC,35681,0.0
1915,Mecklenburg,NC,511433,0.0
1916,Mitchell,NC,14433,0.0
1917,Montgomery,NC,23346,0.0
1918,Moore,NC,59013,0.0
1919,Nash,NC,76677,0.0
1920,New hanover,NC,120284,0.0
1921,Northampton,NC,20798,0.0
1922,Onslow,NC,149838,0.0
1923,Orange,NC,93851,0.0
1924,Pamlico,NC,11372,0.0
1925,Pasquotank,NC,31298,0.0
1926,Pender,NC,28855,0.0
1927,Perquimans,NC,10447,0.0
1928,Person,NC,30180,0.0
1929,Pitt,NC,107924,0.0
1930,Polk,NC,14416,0.0
1931,Randolph,NC,106546,0.0
1932,Richmond,NC,44518,0.0
1933,Robeson,NC,105179,0.0
1934,Rockingham,NC,86064,0.0
1935,Rowan,NC,110605,0.0
1936,Rutherford,NC,56918,0.0
1937,Sampson,NC,47297,0.0
1938,Scotland,NC,33754,0.0
1939,Stanly,NC,51765,0.0
1940,Stokes,NC,37223,0.0
1941,Surry,NC,61704,0.0
1942,Swain,NC,11268,0.0
1943,Transylvania,NC,25520,0.0
1944,Tyrrell,NC,3856,0.0
1945,Union,NC,84211,0.0
1946,Vance,NC,38892,0.0
1947,Wake,NC,423380,0.0
1948,Warren,NC,17265,0.0
1949,Washington,NC,13997,0.0
1950,Watauga,NC,36952,0.0
1951,Wayne,NC,104666,0.0
1952,Wilkes,NC,59393,0.0
1953,Wilson,NC,66061,0.0
1954,Yadkin,NC,30488,0.0
1955,Yancey,NC,15419,0.0
1956,Adams,ND,3174,0.0
1957,Barnes,ND,12545,0.0
1958,Benson,ND,7198,0.0
1959,Billings,ND,1108,0.0
1960,Bottineau,ND,8011,0.0
1961,Bowman,ND,3596,0.0
1962,Burke,ND,3002,0.0
1963,Burleigh,ND,60131,0.0
1964,Cass,ND,102874,0.0
1965,Cavalier,ND,6064,0.0
1966,Dickey,ND,6107,0.0
1967,Divide,ND,2899,0.0
1968,Dunn,ND,4005,0.0
1969,Eddy,ND,2951,0.0
1970,Emmons,ND,4830,0.0
1971,Foster,ND,3983,0.0
1972,Golden valley,ND,2108,0.0
1973,Grand forks,ND,70683,0.0
1974,Grant,ND,3549,0.0
1975,Griggs,ND,3303,0.0
1976,Hettinger,ND,3445,0.0
1977,Kidder,ND,3332,0.0
1978,Lamoure,ND,5383,0.0
1979,Logan,ND,2847,0.0
1980,Mchenry,ND,6528,0.0
1981,Mcintosh,ND,4021,0.0
1982,Mckenzie,ND,6383,0.0
1983,Mclean,ND,10457,0.0
1984,Mercer,ND,9808,0.0
1985,Morton,ND,23700,0.0
1986,Mountrail,ND,7021,0.0
1987,Nelson,ND,4410,0.0
1988,Oliver,ND,2381,0.0
1989,Pembina,ND,9238,0.0
1990,Pierce,ND,5052,0.0
1991,Ramsey,ND,12681,0.0
1992,Ransom,ND,5921,0.0
1993,Renville,ND,3160,0.0
1994,Richland,ND,18148,0.0
1995,Rolette,ND,12772,0.0
1996,Sargent,ND,4549,0.0
1997,Sheridan,ND,2148,0.0
1998,Sioux,ND,3761,0.0
1999,Slope,ND,907,0.0
2000,Stark,ND,22832,0.0
2001,Steele,ND,2420,0.0
2002,Stutsman,ND,22241,0.0
2003,Towner,ND,3627,0.0
2004,Traill,ND,8752,0.0
2005,Walsh,ND,13840,0.0
2006,Ward,ND,57921,0.0
2007,Wells,ND,5864,0.0
2008,Williams,ND,21129,0.0
2009,Adams,OH,25371,5.0
2010,Allen,OH,109755,27.0
2011,Ashland,OH,47507,10.0
2012,Ashtabula,OH,99821,28.0
2013,Athens,OH,59549,11.0
2014,Auglaize,OH,44585,16.0
2015,Belmont,OH,71074,24.0
2016,Brown,OH,34966,9.0
2017,Butler,OH,291479,55.0
2018,Carroll,OH,26521,5.0
2019,Champaign,OH,36019,6.0
2020,Clark,OH,147548,37.0
2021,Clermont,OH,150187,20.0
2022,Clinton,OH,35415,12.0
2023,Columbiana,OH,108276,25.0
2024,Coshocton,OH,35427,8.0
2025,Crawford,OH,47870,14.0
2026,Cuyahoga,OH,1412140,325.0
2027,Darke,OH,53619,17.0
2028,Defiance,OH,39350,6.0
2029,Delaware,OH,66929,14.0
2030,Erie,OH,76779,19.0
2031,Fairfield,OH,103461,17.0
2032,Fayette,OH,27466,6.0
2033,Franklin,OH,961437,152.0
2034,Fulton,OH,38498,15.0
2035,Gallia,OH,30954,7.0
2036,Geauga,OH,81129,13.0
2037,Greene,OH,136731,27.0
2038,Guernsey,OH,39024,10.0
2039,Hamilton,OH,866228,176.0
2040,Hancock,OH,65536,23.0
2041,Hardin,OH,31111,10.0
2042,Harrison,OH,16085,4.0
2043,Henry,OH,29108,4.0
2044,Highland,OH,35728,4.0
2045,Hocking,OH,25533,4.0
2046,Holmes,OH,32849,7.0
2047,Huron,OH,56240,15.0
2048,Jackson,OH,30230,10.0
2049,Jefferson,OH,80298,18.0
2050,Knox,OH,47473,15.0
2051,Lake,OH,215499,39.0
2052,Lawrence,OH,61834,16.0
2053,Licking,OH,128300,24.0
2054,Logan,OH,42310,10.0
2055,Lorain,OH,271126,74.0
2056,Lucas,OH,462361,85.0
2057,Madison,OH,37068,8.0
2058,Mahoning,OH,264806,61.0
2059,Marion,OH,64274,13.0
2060,Medina,OH,122354,24.0
2061,Meigs,OH,22987,6.0
2062,Mercer,OH,39443,9.0
2063,Miami,OH,93182,24.0
2064,Monroe,OH,15497,5.0
2065,Montgomery,OH,573809,105.0
2066,Morgan,OH,14194,6.0
2067,Morrow,OH,27749,2.0
2068,Muskingum,OH,82068,18.0
2069,Noble,OH,11336,2.0
2070,Ottawa,OH,40029,12.0
2071,Paulding,OH,20488,5.0
2072,Perry,OH,31557,4.0
2073,Pickaway,OH,48255,13.0
2074,Pike,OH,24249,3.0
2075,Portage,OH,142585,28.0
2076,Preble,OH,40113,4.0
2077,Putnam,OH,33819,4.0
2078,Richland,OH,126137,24.0
2079,Ross,OH,69330,15.0
2080,Sandusky,OH,61963,20.0
2081,Scioto,OH,80327,27.0
2082,Seneca,OH,59733,18.0
2083,Shelby,OH,44915,5.0
2084,Stark,OH,367585,89.0
2085,Summit,OH,514990,114.0
2086,Trumbull,OH,227813,63.0
2087,Tuscarawas,OH,84090,27.0
2088,Union,OH,31969,6.0
2089,Van wert,OH,30464,0.0
2090,Vinton,OH,11098,2.0
2091,Warren,OH,113909,18.0
2092,Washington,OH,62254,15.0
2093,Wayne,OH,101461,28.0
2094,Williams,OH,36956,10.0
2095,Wood,OH,113269,28.0
2096,Wyandot,OH,22254,5.0
2097,Adair,OK,18421,6.0
2098,Alfalfa,OK,6416,4.0
2099,Atoka,OK,12778,1.0
2100,Beaver,OK,6023,0.0
2101,Beckham,OK,18812,4.0
2102,Blaine,OK,11470,1.0
2103,Bryan,OK,32089,8.0
2104,Caddo,OK,29550,9.0
2105,Canadian,OK,74409,8.0
2106,Carter,OK,42919,12.0
2107,Cherokee,OK,34049,7.0
2108,Choctaw,OK,15302,5.0
2109,Cimarron,OK,3301,1.0
2110,Cleveland,OK,174253,17.0
2111,Coal,OK,5780,2.0
2112,Comanche,OK,111486,14.0
2113,Cotton,OK,6651,4.0
2114,Craig,OK,14104,4.0
2115,Creek,OK,60915,15.0
2116,Custer,OK,26897,4.0
2117,Delaware,OK,28070,4.0
2118,Dewey,OK,5551,6.0
2119,Ellis,OK,4497,1.0
2120,Garfield,OK,56735,17.0
2121,Garvin,OK,26605,3.0
2122,Grady,OK,41747,17.0
2123,Grant,OK,5689,2.0
2124,Greer,OK,6559,3.0
2125,Harmon,OK,3793,1.0
2126,Harper,OK,4063,1.0
2127,Haskell,OK,10940,6.0
2128,Hughes,OK,13023,0.0
2129,Jackson,OK,28764,4.0
2130,Jefferson,OK,7010,3.0
2131,Johnston,OK,10032,1.0
2132,Kay,OK,48056,18.0
2133,Kingfisher,OK,13212,2.0
2134,Kiowa,OK,11347,9.0
2135,Latimer,OK,10333,3.0
2136,Le flore,OK,43270,0.0
2137,Lincoln,OK,29216,9.0
2138,Logan,OK,29011,4.0
2139,Love,OK,8157,1.0
2140,Major,OK,8055,3.0
2141,Marshall,OK,10829,4.0
2142,Mayes,OK,33366,10.0
2143,Mcclain,OK,22795,0.0
2144,Mccurtain,OK,33433,0.0
2145,Mcintosh,OK,16779,0.0
2146,Murray,OK,12042,3.0
2147,Muskogee,OK,68078,15.0
2148,Noble,OK,11045,2.0
2149,Nowata,OK,9992,4.0
2150,Okfuskee,OK,11551,5.0
2151,Oklahoma,OK,599611,122.0
2152,Okmulgee,OK,36490,9.0
2153,Osage,OK,41645,12.0
2154,Ottawa,OK,30561,11.0
2155,Pawnee,OK,15575,7.0
2156,Payne,OK,61507,15.0
2157,Pittsburg,OK,40581,13.0
2158,Pontotoc,OK,34119,4.0
2159,Pottawatomie,OK,58760,21.0
2160,Pushmataha,OK,10997,6.0
2161,Roger mills,OK,4147,0.0
2162,Rogers,OK,55170,14.0
2163,Seminole,OK,25412,5.0
2164,Sequoyah,OK,33828,13.0
2165,Stephens,OK,42299,20.0
2166,Texas,OK,16419,0.0
2167,Tillman,OK,10384,4.0
2168,Tulsa,OK,503341,106.0
2169,Wagoner,OK,47883,6.0
2170,Washington,OK,48066,16.0
2171,Washita,OK,11441,5.0
2172,Woods,OK,9103,2.0
2173,Woodward,OK,18976,5.0
2174,Baker,OR,15317,6.0
2175,Benton,OR,70811,12.0
2176,Clackamas,OR,278850,55.0
2177,Clatsop,OR,33301,15.0
2178,Columbia,OR,37557,10.0
2179,Coos,OR,60273,18.0
2180,Crook,OR,14111,7.0
2181,Curry,OR,19327,6.0
2182,Deschutes,OR,74958,10.0
2183,Douglas,OR,94649,34.0
2184,Gilliam,OR,1717,2.0
2185,Grant,OR,7853,1.0
2186,Harney,OR,7060,1.0
2187,Hood river,OR,16903,0.0
2188,Jackson,OR,146389,26.0
2189,Jefferson,OR,13676,3.0
2190,Josephine,OR,62649,18.0
2191,Klamath,OR,57702,12.0
2192,Lake,OR,7186,2.0
2193,Lane,OR,282912,50.0
2194,Lincoln,OR,38889,17.0
2195,Linn,OR,91227,25.0
2196,Malheur,OR,26038,7.0
2197,Marion,OR,228483,50.0
2198,Morrow,OR,7625,1.0
2199,Multnomah,OR,583887,132.0
2200,Polk,OR,49541,7.0
2201,Sherman,OR,1918,1.0
2202,Tillamook,OR,21570,9.0
2203,Umatilla,OR,59249,18.0
2204,Union,OR,23598,6.0
2205,Wallowa,OR,6911,2.0
2206,Wasco,OR,21683,6.0
2207,Washington,OR,311554,47.0
2208,Wheeler,OR,1396,1.0
2209,Yamhill,OR,65551,18.0
2210,Adams,PA,78274,18.0
2211,Allegheny,PA,1336449,339.0
2212,Armstrong,PA,73478,17.0
2213,Beaver,PA,186093,50.0
2214,Bedford,PA,47919,7.0
2215,Berks,PA,336523,80.0
2216,Blair,PA,130542,36.0
2217,Bradford,PA,60967,8.0
2218,Bucks,PA,541174,99.0
2219,Butler,PA,152013,30.0
2220,Cambria,PA,163029,62.0
2221,Cameron,PA,5913,2.0
2222,Carbon,PA,56846,8.0
2223,Centre,PA,123786,17.0
2224,Chester,PA,376396,70.0
2225,Clarion,PA,41699,18.0
2226,Clearfield,PA,78097,29.0
2227,Clinton,PA,37182,7.0
2228,Columbia,PA,63202,18.0
2229,Crawford,PA,86169,23.0
2230,Cumberland,PA,195257,36.0
2231,Dauphin,PA,237813,64.0
2232,Delaware,PA,547651,138.0
2233,Elk,PA,34878,14.0
2234,Erie,PA,275572,62.0
2235,Fayette,PA,145351,41.0
2236,Forest,PA,4802,3.0
2237,Franklin,PA,121082,42.0
2238,Fulton,PA,13837,4.0
2239,Greene,PA,39550,9.0
2240,Huntingdon,PA,44164,15.0
2241,Indiana,PA,89994,18.0
2242,Jefferson,PA,46083,9.0
2243,Juniata,PA,20625,3.0
2244,Lackawanna,PA,219039,87.0
2245,Lancaster,PA,422822,91.0
2246,Lawrence,PA,96246,28.0
2247,Lebanon,PA,113744,28.0
2248,Lehigh,PA,291130,77.0
2249,Luzerne,PA,328149,99.0
2250,Lycoming,PA,118710,33.0
2251,Mc kean,PA,47131,0.0
2252,Mercer,PA,121003,35.0
2253,Mifflin,PA,46197,25.0
2254,Monroe,PA,95709,18.0
2255,Montgomery,PA,678111,150.0
2256,Montour,PA,17735,9.0
2257,Northampton,PA,247105,79.0
2258,Northumberland,PA,96771,23.0
2259,Perry,PA,41172,6.0
2260,Philadelphia,PA,1585577,305.0
2261,Pike,PA,27966,7.0
2262,Potter,PA,16717,3.0
2263,Schuylkill,PA,152585,55.0
2264,Snyder,PA,36680,5.0
2265,Somerset,PA,78218,30.0
2266,Sullivan,PA,6104,3.0
2267,Susquehanna,PA,40380,3.0
2268,Tioga,PA,41126,13.0
2269,Union,PA,36176,11.0
2270,Venango,PA,59381,17.0
2271,Warren,PA,45050,10.0
2272,Washington,PA,204584,46.0
2273,Wayne,PA,39944,10.0
2274,Westmoreland,PA,370321,118.0
2275,Wyoming,PA,28076,5.0
2276,York,PA,339574,78.0
2277,Bristol,RI,48859,0.0
2278,Kent,RI,161135,0.0
2279,Newport,RI,87194,0.0
2280,Providence,RI,596270,0.0
2281,Washington,RI,110006,0.0
2282,Abbeville,SC,23862,0.0
2283,Aiken,SC,120940,0.0
2284,Allendale,SC,11722,0.0
2285,Anderson,SC,145196,0.0
2286,Bamberg,SC,16902,0.0
2287,Barnwell,SC,20293,0.0
2288,Beaufort,SC,86425,0.0
2289,Berkeley,SC,128776,0.0
2290,Calhoun,SC,12753,0.0
2291,Charleston,SC,295039,0.0
2292,Cherokee,SC,44506,0.0
2293,Chester,SC,32170,0.0
2294,Chesterfield,SC,38577,0.0
2295,Clarendon,SC,28450,0.0
2296,Colleton,SC,34377,0.0
2297,Darlington,SC,61851,0.0
2298,Dillon,SC,29114,0.0
2299,Dorchester,SC,83060,0.0
2300,Edgefield,SC,18375,0.0
2301,Fairfield,SC,22295,0.0
2302,Florence,SC,114344,0.0
2303,Georgetown,SC,46302,0.0
2304,Greenville,SC,320167,0.0
2305,Greenwood,SC,59567,0.0
2306,Hampton,SC,18191,0.0
2307,Horry,SC,144053,0.0
2308,Jasper,SC,15487,0.0
2309,Kershaw,SC,43599,0.0
2310,Lancaster,SC,54516,0.0
2311,Laurens,SC,58092,0.0
2312,Lee,SC,18437,0.0
2313,Lexington,SC,167611,0.0
2314,Marion,SC,33899,0.0
2315,Marlboro,SC,29361,0.0
2316,Mccormick,SC,8868,0.0
2317,Newberry,SC,33172,0.0
2318,Oconee,SC,57494,0.0
2319,Orangeburg,SC,84803,0.0
2320,Pickens,SC,93894,0.0
2321,Richland,SC,285720,0.0
2322,Saluda,SC,16357,0.0
2323,Spartanburg,SC,226800,0.0
2324,Sumter,SC,102637,0.0
2325,Union,SC,30337,0.0
2326,Williamsburg,SC,36815,0.0
2327,York,SC,131497,0.0
2328,Aurora,SD,3135,0.0
2329,Beadle,SD,18253,0.0
2330,Bennett,SD,3206,0.0
2331,Bon homme,SD,7089,0.0
2332,Brookings,SD,25207,0.0
2333,Brown,SD,35580,0.0
2334,Brule,SD,5485,0.0
2335,Buffalo,SD,1759,0.0
2336,Butte,SD,7914,0.0
2337,Campbell,SD,1965,0.0
2338,Charles mix,SD,9131,0.0
2339,Clark,SD,4403,0.0
2340,Clay,SD,13186,0.0
2341,Codington,SD,22698,0.0
2342,Corson,SD,4195,0.0
2343,Custer,SD,6179,0.0
2344,Davison,SD,17503,0.0
2345,Day,SD,6978,0.0
2346,Deuel,SD,4522,0.0
2347,Dewey,SD,5523,0.0
2348,Douglas,SD,3746,0.0
2349,Edmunds,SD,4356,0.0
2350,Fall river,SD,7353,0.0
2351,Faulk,SD,2744,0.0
2352,Grant,SD,8372,0.0
2353,Gregory,SD,5359,0.0
2354,Haakon,SD,2624,0.0
2355,Hamlin,SD,4974,0.0
2356,Hand,SD,4272,0.0
2357,Hanson,SD,2994,0.0
2358,Harding,SD,1669,0.0
2359,Hughes,SD,14817,0.0
2360,Hutchinson,SD,8262,0.0
2361,Hyde,SD,1696,0.0
2362,Jackson,SD,1811,0.0
2363,Jerauld,SD,2425,0.0
2364,Jones,SD,1324,0.0
2365,Kingsbury,SD,5925,0.0
2366,Lake,SD,10550,0.0
2367,Lawrence,SD,20655,0.0
2368,Lincoln,SD,15427,0.0
